tia;Fée (slave).;
koenraad;Forme hollandaise de CONRAD.;
myriam;Celle qui élève (hébreu).;
sylvia;Forêt (latin).;
carlyle;Variante de Carlisle.;
crispin;Du nom de famille romain Crispinus qui a été tiré du nom CRISPUS.;
epifanio;Du Dernier(Tardif) mot latin epiphania qui a été tiré de grec (epiphaneia) la signification "l'apparition(apparence), la manifestation".;
sylvie;Forêt (latin).;
tim;Honorer Dieu (grec).;
romy;Romaine (latin).;
hyram;Variante du HIRAM.;
andela;;
che;D'une expression argentine signifiant "hé!".;
tiw;La forme anglo-saxone de Tiwaz (voir TYR).;
roma;Diminutif de ROMAIN.;
chi;;
owen;Bien né (grec).;
houda;la voie.;
sans;Variante ancienne de SANCHO.;
sunniva;Forme scandinave de l'Ancien nom anglais Sunngifu, ce qui signifie «don soleil» de l'Ancien anglais éléments Sunne "soleil" et giefu «cadeau».;
giampaolo;Combinaison de GIANNI et PAOLO.;
walker;D'un nom de famille anglais qui a mentionné le médiéval professionnel d'un marcheur, aussi connu comme un plus plein(complet).;
juozas;Forme courte lithuanienne de JOSEPH.;
eartha;;
sana;Elévation, élégance (arabe).;
apolonija;;
rolo;Variante du ROLLO.;
sani;signifie "brillant, splendide" en arabe.;
jordyn;;
roly;Diminutif de ROLAND.;
hari;"celui qui enlève le pêcher".;
jeanne;Dieu fait grâce (hébreu).;
sisel;Signifie "le bonbon" en Yiddish.;
georgeta;;
sigurd;Du Vieux norrois nomment Sigur ð r, qui a été tiré des éléments sigr "la victoire" et var ð r "le gardien"(tuteur").;
freddy;Pouvoir de la paix (germanique).;
jeanna;;
laurence;Couronnée de laurier (latin).;
dexter;D'un nom de famille professionnel signifiant "celui qui teint" en Vieil anglais.;
iisakki;Forme finlandaise d'ISAAC.;
delphina;;
remei;signifie "remédient" en Catalan, un équivalent catalan de REMEDIOS.;
sara;Princesse (hébreu).;
delphine;Dauphin (latin).;
olympia;Forme féminine d'OLYMPOS.;
donnchadh;Forme gaélique de DUNCAN.;
lilac;;
niklaus;Victoire du peuple (grec).;
hathor;;
akamu;Forme hawaïenne d'ADAM.;
webster;D'un nom de famille professionnel signifiant "tisserand", tiré de Vieil anglais webba.;
murdoch;Forme Anglicisée de MUIREDACH.;
patrick;Noble personne (latin).;
irmtrud;;
saburo;Japon : troisième né masculin.;
rubena;signifie "comme un rubis" en Espéranto.;
briallen;;
alvena;;
kiril;Forme bulgare et macédonienne de CYRIL.;
annuska;;
gerlinde;;
piia;;
karissa;;
kasimir;Forme allemande de CASIMIR.;
makram;Signifie "généreux" ou "noble" en l'arabe.;
ofer;signifie "flattent" en l'Hébreu.;
sa'id;Variante du SADB.;
zlata;;
dannie;Diminutif de DANIEL.;
gemma;Pierre précieuse (latin).;
norah;Éclat du soleil (grec).;
lluis;Forme catalane de LOUIS.;
ciriaco;Variante espagnole de Cyriaque.;
adrien;Habitant d'Adria, en Italie (grec).;
pili;;
devnet;;
atlas;signifie "ne supportant pas" du préfixe négatif grec combiné avec (tlao) "pour durer".;
amabel;;
ingvarr;Forme de vieux norrois d'INGVAR.;
priscilla;Ancien (latin).;
coretta;;
orsina;Forme féminine d'ORSINO.;
evdokiya;;
anat;;
laxman;La transcription Variante du LAKSHMAN.;
tonya;Forme abrégée d'Antonia.;
agrippa;;
goro;Japon : cinquième.;
jarogniew;Tiré des éléments Slaves jary "féroce, fort" et gnev "colère".;
persephone;La signification d'inconnu, peut-être lié à grec (pertho) "pour détruire" et (le téléphone) "le meurtre".;
zdislav;Forme tchèque de ZDZISAW.;
kaapro;Forme finlandaise de GABRIEL.;
mckenzie;;
orsino;La forme italienne du nom romain Ursinus, lui-même tiré d'Ursus (voir URS).;
rogelio;Lance glorieuse (germanique). Prénom basque.;
corey;D'un nom de famille qui a été tiré du Vieux norrois le nom donné K ó Ri, de signification inconnue.;
euthymius;La forme Latinisée du nom grec (Euthymios) qui a signifié "de bonne humeur", tiré du mot (euthymos), qui a été composé des éléments "bons" et (thymos) "l'âme, l'esprit(alcool)".;
cindra;;
darius;Détenteur du bien (latin).;
ilene;;
fayruz;;
zenon;Forme plus ancienne de ZENO, ainsi que la forme moderne polonaise.;
hyginus;Forme Latinisée de ' (Hyginos), un nom grec tiré de ' (hygieinos) signification "de sain".;
eidel;;
anacleto;Italien, forme espagnole et portugaise d'ANACLETUS.;
rayner;Du nom Germanique Raganhar, composé des éléments ragin "conseil" et "armée" hari.;
rebeccah;Variante du REBECCA.;
einion;Signifie "l'enclume" en gallois.;
gord;Version courte de GORDON.;
gore;D'un nom de famille anglais signifiant "triangulaire" (du Vieil anglais gara), référant à l'origine à quelqu'un qui a vécu sur un morceau(une pièce) triangulaire de terrain(terre).;
haukea;;
hillevi;;
sari;Diminutif hongrois de SARAH.;
sydney;Habitante de Sidon (latin).;
anas;ami, proche.;
alayna;;
evaristo;Agréable (grec).;
kajsa;;
faithe;;
anan;;
floriano;Floraison (latin).;
pika;;
jozef;Forme polonaise de JOSEPH.;
ithamar;;
tereza;Bulgare, tchèque, forme roumaine et portugaise de THERESA.;
calisto;Variante du CALIXTO.;
ping;Chine : Paisible.;
alphonzo;Variante rare de ALFONSO.;
cormac;signifie "fils de souillure" de Gaélique corb "souillure" et "fils" mac.;
giorgio;Labourer de sol (grec).;
tod;Variante du TODD.;
colombina;;
clytemnestra;;
cormag;Forme écossaise de Cormac.;
sava;Forme serbe et bulgare de SABAS.;
yngvar;Variante du Ingvar.;
connell;D'un nom de famille irlandais, une forme Anglicisée de Ó Conaill signification "descendent de CONALL".;
eamon;Variante de Eamonn.;
avril;Qui bourgeonne (latin).;
mickey;Qui est comme Dieu (hébreu).;
pino;;
saul;Nom juif de Paul avant sa conversion. Vient du latin "paulus" Signifie : "petit, faible" Se fête le 29 juin.;
tom;Jumeau (araméen).;
hava;;
rosy;Rose (latin).;
tor;La forme scandinave moderne de Þó rr (voir THOR).;
calista;;
domonkos;Forme hongroise de DOMINIC.;
gbemisola;;
harmonia;;
yusef;La transcription Variante du YUSUF.;
flannan;;
harmonie;Harmonie, unité (latin).;
ionut;;
sergius;Nom de famille romain, signifiant peut-être «serviteur» en latin, mais probablement d'origine étrusque inconnu.;
haul;Signifie "le soleil" en gallois. Ceci est un nom gallois moderne.;
gerhold;Forme allemande de GERALD.;
jordon;Variante de la Jordanie.;
willie;Protecteur résolu (germanique).;
anca;;
eugen;Bien né (grec).;
noach;Forme hébraïque de NOAH.;
ross;Cheval (germanique).;
gabino;Forme espagnole de Gabinus (voir GAVINO).;
kristel;Messie (grec).;
lefteris;Version courte de ELEFTHERIOS.;
kristen;Messie (grec).;
matleena;;
shprintzel;Peut-être un diminutif yiddish de ESPERANZA.;
krister;Variante suédoise de CHRISTER.;
rory;Forme Anglicisée de RUAIDHR Í.;
ambrosia;Immortelle (grec).;
rebeccanne;Combinaison de REBECCA et ANNE.;
willis;D'un nom de famille anglais qui a été tiré de Fera(Sera), un diminutif de WILLIAM.;
ogden;D'un nom de famille qui a été tiré d'un nom d'endroit(de place) signifiant "la vallée de chêne" en Vieil anglais.;
giorgia;Labourer de sol (grec).;
rose;Rose (latin).;
satu;;
launo;Peut-être un diminutif finlandais de KLAUS.;
rosa;Rose (latin).;
'aziz;;
emmerson;Variante du EMERSON.;
eliina;;
sisko;Signifie "la soeur" en finlandais.;
ambrosio;Forme espagnole et portugaise de Ambrosius (voir AMBROISE).;
juliusz;Forme polonaise de Julius.;
alden;D'un nom de famille qui a été tiré du Vieil anglais le nom donné EALDWINE.;
ezra;signifie "aident" en l'Hébreu.;
yochanan;Forme hébraïque de JOHN.;
hilary;Vient du latin "hilaris" Signifie : "gai, joyeux" Se fête le 13 février. ;
vosgi;Variante du transcription VOSKI.;
karrie;;
jessie;Un présent (hébreu).;
ken'ichi;Du Vieux nom anglais Cenhelm, qui a été composé des éléments cene "le gras, aigu" et le gouvernail "le casque".;
annetta;;
shaina;Belle (yiddish).;
coral;Consolation (espagnol).;
gertrud;;
achilles;Du grec (Achilleus) qui a de signification inconnue, peut-être tirée de grec (achos) "la douleur" ou bien du nom de la Rivière(du Fleuve) Achelous.;
vytautas;Des éléments Baltiques vyti-"la poursuite, partez" ou vyd-"voit" combiné avec tauta "les gens(le peuple), la nation".;
adriana;Habitant d'Adria, Italie (grec).;
jelka;;
methoataske;;
kiana;;
tlaloc;signifie "de la terre" en Nahuatl.;
helios;Signifie "le soleil" en grec.;
ruchel;Forme yiddish de Rachel.;
bosede;signifie "né dimanche" en Yoruba.;
kennard;D'un nom de famille qui a été tiré du Vieil anglais des noms donnés CYNEWEARD ou CYNEHEARD.;
christmas;;
andy;Courageux, viril (grec).;
caetlin;;
nandag;Écossaise diminutif de ANNA.;
beowulf;Peut-être signifie «abeille loup" (en effet égal à "l'ours") du vieil anglais beo "abeille" et wulf "loup".;
olayinka;signifie "la richesse(fortune) m'entourent" en Yoruba.;
samuli;Forme finlandaise de SAMUEL.;
traian;Forme roumaine de Trajan (voir TRAJAN).;
zsanett;Forme hongroise de JEANNETTE.;
gratia;;
kaelee;;
lauro;La forme italienne de Laurus (voir LAURA).;
larkin;Diminutif médiéval de LAURENCE.;
lilia;Lys (latin). Ce qui m'appartient est à Dieu (hébreu). Lilia est également une variante de Leïla.;
piri;;
kaelea;;
iskender;;
lauri;Forme finlandaise de LAURENCE.;
laurita;;
sa'ida;Variante du SADB.;
seachnall;Peut-être une forme irlandaise de Secundinus.;
odessa;Long voyage (grec).;
roxy;Diminutif de ROXANA.;
laure;Couronnée de laurier (latin).;
sorrel;Du nom de l'usine(la plante) de dégustation aigre, qui peut en fin de compte provenir de sur Germanique "aigre".;
floriana;Floraison (latin).;
rajinder;Variante du RAJENDRA.;
laura;Couronnée de laurier (latin).;
lauritz;La forme danoise et norvégienne de Laurentius (voir LAURENCE).;
haze;;
sigmund;Qui est exaucé (hébreu).;
rhett;D'un nom de famille, une forme Anglicisée du hollandais de Raedt, tiré de raet "le conseil, conseille".;
laurits;La forme danoise et norvégienne de Laurentius (voir LAURENCE).;
alphaeus;(D'Alphaios), la forme grecque d'un nom hébreu qui a été censé "changer".;
samuil;Forme russe et bulgare de Samuel.;
frankie;Libre (latin).;
phobos;;
filippo;Qui aime les chevaux (grec).;
liouba;;
lodewijk;Forme hollandaise de LUDWIG.;
tatienne;Forme française de TATIANA.;
annette;Grâce (hébreu).;
kristal;;
siddhartha;signifie "celui qui a accompli un but", tiré du Sanscrit (siddha) "le but" "accompli" et (artha).;
ragnhildur;Forme islandaise de RAGNHILD.;
assumpta;;
eira;;
loredana;Couronnée de laurier (latin).;
terese;Forme basque de TERESA.;
teresa;Qui récolte (grec).;
tue;Forme danoise de T Ó FI.;
carmelita;;
lamprecht;Forme allemande de LAMBERT.;
anja;;
aristomache;;
caius;Variante romaine de Gaius.;
dudley;;
italus;signifie "de l'Italie" en latin.;
judyta;;
elizaveta;;
roza;Variante du RÓZSA.;
muireann;;
anicetus;Forme Latinisée du nom grec (Aniketos), signifiant "invincible".;
roze;;
jameela;;
ivah;;
ania;Grâce (hébreu).;
ivan;Dieu fait grâce (hébreu).;
clovis;Illustre au combat (germanique).;
ivar;Forme scandinave de IVOR.;
cuc;;
fernand;Courageux, aventurier (germanique).;
jagannath;Transcription moderne de JAGANNATHA.;
evelina;Vie, donner la vie (hébreu).;
gualter;Forme portugaise de WALTER.;
eveline;Vie, donner la vie (hébreu).;
nahal;signifie "coulent" en l'Hébreu.;
courtney;De la cour (vieil anglais).;
clovia;;
roibeard;Forme irlandaise de ROBERT.;
sayyid;signifie "lord(seigneur), maître" en arabe.;
petter;;
aylmer;D'un nom de famille qui était une variante d'ELMER.;
tyrrell;D'un nom de famille qui était une variante de TERRELL.;
dunja;;
sachie;Diminutif de SACHEVERELL.;
adriano;Habitant d'Adria, en Italie (grec).;
nerida;Peut-être signifie "nénuphar" en une langue aborigène d'Australie.;
sameer;La transcription Variante du SAMIR.;
eckehard;Variante du EKKEHARD.;
keefe;D'un nom de famille irlandais, une forme Anglicisée de Ó Caoimh signification "descendent de CAOMH".;
sachin;signifie "purs" en Sanscrit.;
pius;;
yuriy;Forme russe et ukrainienne de GEORGE.;
zaria;Peut-être basée sur Zahrah ou la ville nigériane de Zaria.;
cyrano;Peut-être dérivé du nom de l'antique cité grecque de Cyrène, qui se trouvait en Afrique du Nord.;
sverre;Du Vieux norrois nomment Sverrir qui a signifié "sauvage, le balancement, le filage".;
anke;;
clive;Prénom anglo-saxon dérivé de Clifford. Vient du saxon " cliff et ford" Signifie : "falaise et gué" Fête indéterminée.;
teal;Du mot anglais pour le type de canard ou la couleur verdâtre-bleue.;
anka;;
taddeo;Forme italienne de THADDEUS.;
marvin;Ami de la mer (anglais).;
bekki;;
ofra;Forme hébraïque d'OPHRAH.;
phirun;;
kirsty;;
aksel;Variante du AXEL.;
bartlomiej;;
redmond;Forme Anglicisée de RÉAMANN.;
nimbus;;
tye;D'un nom de famille signifiant "pâturage" en Moyen anglais.;
pancras;Forme anglaise médiévale de PANCRATIUS.;
giampiero;Combinaison de GIANNI et PIERO.;
legolas;signifie "feuilles(congés) vertes" en Sindarin, de laeg "vert" combiné avec aller-jeune-fille "collection(ramassage) de feuilles(congés)".;
manny;Forme abrégée de l'Emmanuel.;
anne;Grâce (hébreu).;
idony;;
justyn;Forme polonaise de Iustinus (voir JUSTIN).;
krysia;;
tyr;Forme de vieux norrois de TYR.;
anna;Grâce (hébreu).;
adalheid;;
kevin;Beau garçon (irlandais).;
harding;D'un nom de famille anglais qui a été tiré du nom donné Entendu, qui était une forme courte de Vieux noms anglais divers contenant l'élément entendu signifiant "courageux, robuste".;
manon;Celle qui élève (hébreu).;
alvar;Du Vieux norrois nomment Alfarr la signification "l'armée d'elfe", formé des éléments alfr "l'elfe" et "le guerrier" arr.;
garth;D'un nom de famille signifiant "le jardin" en Vieux norrois, dénotant à l'origine celui qui a vécu près ou a travaillé(marché) en un jardin.;
jerold;Variante du GERALD.;
alvah;signifie "sa hauteur" en Hébreu.;
malcom;Disciple de sainte Colombe (celte).;
katsuro;Variante du transcription KATSUROU.;
tuomo;Forme finlandaise de THOMAS.;
ives;La forme anglaise d'YVES, utilisé pour attribuer au Saint Ives (aussi appelé Ivo) de Huntingdonshire, un évêque anglais semi-légendaire.;
khamisi;signifie "né jeudi" en swahili.;
savannah;Grande plaine verdoyante (espagnol).;
brigit;;
halle;Du Vieux norrois nomment Halli, un diminutif de noms contenant l'élément hallr la signification "de la roche"("du rock").;
davena;;
olukayode;signifie "Dieu apportent le bonheur" en Yoruba.;
tiamat;Signifie "la mer" en Akkadian.;
bergliot;;
boyce;D'un nom de famille qui a été tiré du Vieux "bois" bois français.;
madlyn;;
woodrow;D'un nom de famille qui a été à l'origine tiré d'un nom d'endroit(de place) signifiant "la rangée(dispute) de maisons par un bois" en Vieil anglais.;
lynette;Forme féminine de Lin. Vient du latin "linum" Signifie : "lin" (plante et textile) Se fête le 23 septembre.;
sabeen;signifie "disciple d'une autre religion" en arabe.;
katelin;;
teca;;
brigid;;
tiernan;Forme Anglicisée de TIGHEARNN.;
siarl;Forme galloise de CHARLES.;
adrastos;signifie "non incliné de partir en courant" en grec.;
garry;Variante du GARY.;
dwyn;Signification d'inconnu. Ceci était le nom de Dieu celtique d'amour.;
rainerio;Forme espagnole de Rayner.;
wilmer;Volonté, renommée (germanique).;
bernat;Forme hongroise de BERNARD.;
tillo;De Tielo, un diminutif allemand Bas des noms qui ont commencé par le Régime (par exemple DIETRICH).;
richardine;Forme féminine de RICHARD.;
ladislav;Tchèque, Slovaque, forme slovène et croate de VLADISLAV.;
muireall;;
ladislas;Gouverneur puissant et renommé (slave).;
kawacatoose;signifie "pauvre(faible) homme" ou "homme maigre" en Cree.;
kristia;;
ladislao;Forme italienne de VLADISLAV.;
mikolaj;;
kristie;;
gennadius;La forme Latinisée du nom grec (Gennadios), qui a été probablement tiré de grec (gennadas) "noble, généreux".;
gwilym;Forme galloise de WILLIAM.;
cairo;Du nom de la ville en Egypte, appelée (Al-Qahirah) en arabe, signifiant "le victorieux".;
kristin;;
rhiannon;Tiré du vieux nom celtique Rigantona signification "grande(super) reine".;
cristian;Messie (grec).;
tilly;Diminutif de MATILDA.;
simeon;Qui est exaucé (hébreu).;
jerome;Forme française de JEROME.;
richendra;;
kiaran;Forme Anglicisée de CIARN.;
netta;Forme abrégée des noms se terminant par Netta.;
inderpal;signifie "protecteur d'Indra" du nom de Dieu INDRA combiné avec Sanscrit (pala) "protecteur".;
rebecca;Génisse (hébreu).;
ginnie;;
hiltrude;;
fionn;D'irlandais fionn (Finlandais irlandais plus vieux) signification "de foire" ou "blanc".;
justus;Le nom latin qui a signifié "juste". Au moins huit saints ont porté ce nom.;
eckbert;Allemand apparenté d'EGBERT.;
wouter;Forme hollandaise de WALTER.;
cornelia;Cornue, corneille (latin).;
keely;;
jasmine;Fleur de jasmin (perse).;
filomena;Qui aime la lune (grec).;
daniele;Dieu est mon juge (hébreu).;
satish;signifie "lord(seigneur) de Sati" du nom de la déesse hindoue SATI combiné avec "dirigeant"("règle") (isha).;
corneliu;Forme roumaine de CORNELIUS.;
daniela;Dieu est mon juge (hébreu).;
wojtek;Diminutif de WOJCIECH.;
cornelis;Cornu, corneille (latin).;
ailsa;;
mikala;Forme hawaïenne de MICHAEL.;
vilhelmiina;Forme féminine finlandaise de WILLIAM.;
latanya;;
cameron;Nez crochu (écossais).;
robina;Forme féminine de ROBIN.;
sakhr;signifie "roche(rock) solide" en arabe.;
omega;Du nom de la dernière lettre en l'alphabet grec.;
tonio;Inestimable (latin). Fleur (grec).;
satchel;D'un nom de famille tiré du Vieil anglais sacc la signification "le sac, ensachez" référant à une personne qui était un fabricant de sac.;
acacius;Forme Latinisée d'AKAKIOS.;
alvilda;;
aletha;;
amyas;Signification d'inconnu, peut-être une dérivée d'AMIS.;
deemer;D'un nom de famille anglais et écossais signifiant "juge", de Vieil anglais demere.;
madalena;Vient de l'hébreu "Magdala" Nom d'un village de Galilée où demeurait Marie-Madeleine. Se fête le 22 juillet.;
addison;Dérivé américain d'Adam, avec "son ", "fils d'Adam." Vient de l'hébreu "Adâm" Signifie: "Homme, Humanité" Se fête le 24 décembre;
dolly;Douleur (espagnol).;
muscowequan;signifie "cannette dure" en Cree. Ceci était le nom d'un chef Cree 19ème-siècle.;
tonia;Variante de Tonya.;
gwenllian;;
silvano;Forêt (latin).;
godfrey;La paix de Dieu (germanique).;
samuele;Exaucée de Dieu (hébreu).;
arianna;Vient du grec "ariadnê" Signifie : "chanter" Se fête le 18 septembre.;
clint;Forme abrégée de Clinton.;
taegan;Variante du Teagan.;
anto;Forme croate d'ANTHONY.;
arianne;Vient du grec "ariadnê" Signifie : "chanter" Se fête le 18 septembre.;
dolph;Forme abrégée d'Adolph.;
samuela;Forme féminine de SAMUEL.;
euthalia;;
miela;;
daveth;Forme de Cornouailles de DAVID.;
mieke;;
andreas;Courageux, viril (grec).;
manus;Forme irlandaise de MAGNUS.;
stefanie;Couronnée (grec).;
donatien;Présent de Dieu (latin).;
emmaline;;
giosetta;;
boadicea;;
stefania;Couronnée (grec).;
abhay;"intrépide, sans crainte".;
diarmuid;Variante de Diarmaid.;
dragomir;signifie "précieux et paisible" de l'élément Slave dorgu signification "de précieux" combiné avec mir signification "de paix" ou "monde".;
jeanie;;
jackie;Supplanter, protéger (hébreu).;
candida;D'un blanc éclatant (latin).;
bettie;;
haley;;
decebal;signifie "puissant, courageux" en Dace.;
edwin;Riche ami (anglais).;
harald;Apparenté scandinave et allemande de HAROLD.;
leonius;Le dernier(tardif) nom latin qui a été tiré de LEO.;
goldie;;
girish;Transcription moderne de GIRISHA.;
lynsey;;
manish;"sagesse, réflexion".;
frigg;;
fiona;Fille à la peau claire (celte).;
parvin;signifie "les Pléiades" en persan.;
taranis;;
ante;Forme croate d'ANTHONY.;
anahita;;
benedikta;;
pascual;Passage (hébreu).;
benedikte;;
tonka;Slovène et croate diminutif de ANTONIA.;
nahor;signifie "reniflant" en Hébreu.;
xanthippe;La forme féminine du nom grec (Xanthippos), qui a signifié "le cheval jaune" (de xanthos) "jaune" et ' (des hippopotames) "le cheval".;
frida;Pouvoir de la paix (germanique).;
grzegorz;Forme polonaise de GREGORY.;
medusa;;
dag;Tiré de Vieux norrois dagr signification "de jour".;
philomena;;
dai;Japon : grand.;
dan;Il fait justice (hébreu).;
debdan;Forme bengali de DEVDAN.;
eumelia;;
jobeth;;
jordan;Descendre (hébreu).;
melchior;Roi (perse).;
georgene;;
dax;D'un nom de famille anglais qui a été tiré l'un ou l'autre de la ville de Dax en France ou bien du Vieil anglais le nom donné D æ Cca (de signification inconnue).;
meical;Forme galloise de MICHAEL.;
maverick;Tiré du dissident de mot anglais signifiant "indépendant".;
surinder;Variante du Surendra.;
anoush;;
edgard;Forme française d'EDGAR.;
hrothgar;Forme moderne de HRO Ð GAR.;
carole;Fort et viril (germanique).;
clover;;
monica;Solitaire (grec).;
carola;Fort et viril (germanique).;
neriah;signifie "lampe d'YAHWEH" en Hébreu.;
atefeh;;
meriwether;D'un nom de famille signifiant "temps heureux" en Moyen anglais, appartenant à l'origine à une personne joyeuse.;
philomela;;
turlough;Forme Anglicisée de TOIRDHEALBHACH.;
basilio;Roi (grec).;
delshad;;
baldomero;Tiré des éléments Germaniques chauve "le gras, endurez" et meri "célèbre".;
abijah;;
ferenc;Forme hongroise de FRANCIS.;
silvana;Forêt (latin).;
jezebel;;
ra'd;Variante de Raquel.;
avrum;Forme yiddish d'Abraham.;
candice;D'un blanc éclatant (latin).;
malgorzata;;
pernel;Variante du Parnel.;
zacharie;Dieu se souvient (hébreu).;
udo;La forme plus récente d'Odo (voir OTTO).;
conrado;Forme espagnole de CONRAD.;
faddei;Variante du transcription FADDEY.;
manya;;
rakesh;signifie "lord(seigneur) du jour de lune pleine" de Sanscrit (raka) "jour de lune pleine" et (isha) "lord(seigneur), dirigeant(règle)".;
iarlaith;Variante du IARFHLAITH.;
rodolf;Forme allemande de RUDOLF.;
anya;;
jeanette;Dieu fait grâce (hébreu).;
oksana;Forme ukrainienne de XENIA.;
archibald;Audacieux (germanique).;
mikael;Qui est comme Dieu (hébreu).;
uschi;Diminutif d'URSULA.;
clitus;Forme Latinisée de KLEITOS.;
ivor;Du nom Í de Vieux norrois varr, qui a été tiré des éléments votre "l'if, l'arc(le salut)" et "le guerrier" arr.;
arkady;Variante du transcription Arkadiy.;
saranna;Combinaison de SARAH et ANNA, en utilisation occasionnelle depuis le 18ème siècle.;
bernie;Qui apporte la victoire (grec).;
josephine;Dieu ajoutera (hébreu).;
lucifer;signifie "apportant la lumière", tiré du latin lux "allument"("éclairent") et ferre "pour apporter".;
aleksanteri;Forme finlandaise d'ALEXANDER.;
arkadi;Variante du transcription Arkadiy.;
diamond;;
phocas;;
zarathustra;Peut-être signifie "chameau d'or" en iranien ancien, dérivé de Zarat signifiant "or" combiné avec ushtra signifie "chameau".;
rebecka;Variante suédoise de Rebecca.;
cadfan;signifie "combattent le sommet" du goujat gallois "la bataille" et l'interdiction "le sommet".;
shakuntala;Tiré de Sanscrit (shakunta) signification "d'oiseau".;
dorinda;Prénom dérivé de Dorothée. Vient du grec "doron et theos" Signifie : "cadeau et Dieu" Se fête le 6 février.;
zinovia;Forme grecque moderne de ZENOBIA.;
vyacheslav;Forme russe et ukrainienne de Václav.;
krzysztof;Forme polonaise de Christophe.;
wilhelmina;Forme germanique de Guillaume. Vient du germain "wil et helm" Signifie : "volonté et casque" Se fête le 10 janvier.;
deb;;
shevon;Forme Anglicisée de SIOBHAN.;
arkadios;D'un nom de grec ancien signifiant "d'Arcadia".;
chevonne;;
torcall;;
anemone;Nom de fleur (grec).;
dee;;
monifa;;
rodolfo;Loup renommé (germanique).;
avidan;Forme hébraïque d'ABIDAN.;
den;Version courte de DENNIS.;
staci;Variante féminine de STACY.;
hisein;La transcription Variante de Husayn.;
owain;Probablement une forme galloise de EUGENE, même si elle pourrait être dérivé de Gallois eoghunn qui signifie «jeunesse».;
sheena;Forme Anglicisée de S Ì NE.;
sigeberht;signifie "victoire brillante", tiré de Vieil anglais sige "victoire" et beorht "brillant".;
