01_prenom;02_genre;03_langage;04_fréquence;05_signification
aleksander;m;polish, slovene, albanian;0;
aleksandr;m;russian;0;Forme russe et arménien de ALEXANDER.
aleksandra;f;russian, polish, serbian, bulgarian, slovene;0;
aleksandrina;f;serbian, croatian, russian;0;
aleksandro;m;esperanto;0;Forme d'espéranto d'ALEXANDER.
aleksanteri;m;finnish;0;Forme finlandaise d'ALEXANDER.
aleksei;m;russian;0;La transcription Variante du Aleksey.
aleksi;m;finnish;0;Forme finlandaise d'ALEXIS.
alene;f;english;0;
alenka;f;slovene;0;
ales;m;czech;0;Diminutif d'ALEXEJ ou ALEKSANDER.
alesha;f;english (modern);0;
alessa;f;italian;0;
alessandra;f;italian;0;Défense de l'humanité (grec).
alessandro;m;italian;1.21;Défense de l'humanité (grec).
alessia;f;italian;0;Défense de l'humanité (grec).
alessio;m;italian;0;Défense de l'humanité (grec).
aleta;f;english;0;
aletha;f;english;0;
alethea;f;english;0;
alex;m,f;english;3.03;Défense de l'humanité (grec).
alexa;f;english;0;Défense de l'humanité (grec).
alexander;m;english, german, dutch;2.10;Défense de l'humanité (grec).
alexandr;m;czech;0;Forme tchèque d'ALEXANDER.
alexandra;f;german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek;2.26;Défense de l'humanité (grec).
alexandre;m;french, portuguese, hungarian;18.00;Défense de l'humanité (grec).
alexandrea;f;english;0;
alexandria;f;english;0;
alexandrie;f;french;5.54;"Forme féminine d'Alexandre. Vient du grec ""Alexein et Andros"" Signifie : ""Protéger et Homme, viril"" Se fête le 22 avril."
alexandrina;f;english;0;
alexandros;m;greek, ancient greek;0.10;Défense de l'humanité (grec).
alexandru;m;romanian;0;Forme roumaine de ALEXANDER.
alexei;m;russian;0;La transcription Variante du Aleksey.
alexej;m;czech;0;Forme tchèque et Slovaque d'ALEXIS.
alexia;f;english, german;0;Défense de l'humanité (grec).
alexina;f;english;0;"Forme féminine d'Alexis. Vient du grec ""Alexein"" Signifie : ""Repousser, protéger"" Se fête le 17 février."
alexis;m, f;german, french, english, ancient greek;0;Défense de l'humanité (grec).
alexius;m;ancient greek (latinized);0;La forme Latinisée du nom grec (Alexios), une dérivée (de voir ALEXIS).
alexus;f;english;0;
alf;m;english;0.03;"Tiré de Vieux norrois alfr ""elfe""."
alfeo;m;italian;0;Forme italienne d'ALPHAEUS.
alfhild;f;norwegian, swedish;0;
alfons;m;german;0.03;Noble, vif (germanique). Prénom basque.
alfonsina;f;italian;0;
alfonso;m;spanish, italian;0.25;Noble, vif (germanique).
alfred;m;english, french;5.48;Sage conseiller (germanique).
alfreda;f;english, polish, german, italian;0;"Forme féminine d 'Alfred. Vient du germain ""al et frido"" Signifie ""tout et paix"" Se fête le 15 août."
alfredo;m;italian, spanish, portuguese;0.41;Sage conseiller (germanique).
alfsigr;f;ancient scandinavian;0;
algar;m;english;0;"signifie ""lance d'elfe"" de Vieil anglais æ Lf ""elfe"" et ""lance"" gar."
alger;m;english;22.65;D'un nom de famille qui a été tiré du nom donné ALGAR.
algernon;m;english;0.03;"A l'origine le français normand surnom, dérivé de gernons aux ""ayant une moustache"", qui a été appliqué à William de Percy, un compagnon de Guillaume le Conquérant."
ali;m;arabic;8.44;Supérieur, sublime (arabe).
alia;f;arabic;0.10;Sublime (arabe).
aliah;f;;0;
alice;f;english, french;10.07;De noble lignée (germanique).
alicia;f;spanish, english;0.35;De noble lignée (germanique).
alida;f;hungarian;0.48;Noble (germanique).
aliisa;f;finnish;0;
alin;m;romanian;0.06;Peut-être un Roumain forme masculine ALINA.
alina;f;arabic, german, polish;0;Noble (germanique).
aline;f;french, english;0.61;Noble (germanique).
alis;f;welsh;0.10;
alisa;f;english;0.10;
alisha;f;english;0;
alisia;f;english;0;
alison;f,m;english, french;0.03;De noble lignée (germanique).
alissa;f;english;0.48;De noble lignée (germanique).
alistair;m;scottish;0.03;Forme Anglicisée d'ALASDAIR.
alister;m;scottish;0;Forme Anglicisée d'ALASDAIR.
alisya;f;english (modern);0;
alix;m,f;english;5.80;De noble lignée (germanique).
aliyah;f;jewish;0;Sublime (arabe).
aliz;f;hungarian;0;
aliza;f;jewish;0;
allan;m;english, scottish;0.35;Beau, calme (celte).
allannah;f;english;0;
allegra;f;english, italian;0;
allegria;f;english;0.03;
allen;m;english, scottish;0.83;Variante du ALAN.
allie;f;english;1.05;
allison;f;english;0.19;De noble lignée (germanique).
allon;m;biblical;0.03;"Signifie ""le chêne"" en l'Hébreu. Ce nom est mentionné brièvement en l'Ancien Testament."
ally;f;english;0;
allycia;f;english (modern);0;
allyn;m;english;0;Variante du ALAN.
allyson;f;english;0;"Forme anglo-saxonne d'Alice. Vient du germain ""Adal et Hild"" Signifie: ""noble et combat"" Se fête le 16 décembre."
alma;f;english;0.96;Nourrissant (latin).
almas;f;arabic, iranian;0;"Prénom d'origine arabe. Signifie: ""diamant, symbole de la beauté virile"""
almira;f;english;0;"Prénom dérivé de Elmer. Vient du germain ""helm et mar"" Signifie : ""casque et célèbre"" Se fête le 28 août."
almudena;f;spanish;0;
alodia;f;;0;
alois;m;german, czech;0;Très sage (vieil allemand).
aloisia;f;german;0;
aloisio;m;portuguese;0;Forme portugaise de Aloysius.
alojz;m;slovene;0;Forme slovène, slovaque et croate de Aloysius.
alon;m;jewish;0;"Signifie ""le chêne"" en l'Hébreu."
alondra;f;spanish;0;
alonso;m;spanish;6.08;Variante espagnole d'Alphonse.
alonzo;m;italian;0.10;Variante italienne d'ALFONSO.
aloysius;m;english, german, dutch;2.17;Forme Latinisée d'Aloys, une forme de Provençal de LOUIS.
alp;m;turkish;0;"signifie ""endurent"" en turc."
alpertti;m;finnish;0;Forme finlandaise d'ALBERT.
alpha;m,f;english;1.85;
alphaeus;m;biblical;0;"(D'Alphaios), la forme grecque d'un nom hébreu qui a été censé ""changer""."
alphonse;m;french;8.16;Noble, vif (germanique).
alphonsine;f;french;0.10;Noble, vive (germanique).
alphonso;m;italian;0;Variante du ALFONSO.
alphonsus;m;;0;Forme Latinisée d'ALFONSO.
alphonzo;m;english;0;Variante rare de ALFONSO.
alpin;m;scottish;1.12;"Forme Anglicisée du nom Gaélique Ailpein, probablement tiré d'un mot Pictish signifiant ""blanc""."
alta;f;;0.16;
altan;m;turkish;1.56;"signifie ""aube rouge"" en turc."
alte;f;jewish;0;
alter;m;jewish;0.54;"signifie ""vieux"" en Yiddish."
althea;f;greek mythology (latinized);0.03;"Vient du latin ""althéa"" Signifie : "" nom d'une fleur mauve"" Prénom d'origine mythologique. Se fête le 5 octobre. "
alton;m;english;0.03;"D'un Vieux nom de famille anglais qui a été tiré d'un nom d'endroit(de place) signifiant ""la ville à la source de la rivière(du fleuve)""."
aludra;f;astronomy;0;
alun;m;welsh;0.86;Forme galloise de ALAN.
alva;m;;0.06;
alvah;m;biblical;0;"signifie ""sa hauteur"" en Hébreu."
alvar;m;english;0.03;"Du Vieux norrois nomment Alfarr la signification ""l'armée d'elfe"", formé des éléments alfr ""l'elfe"" et ""le guerrier"" arr."
alvena;f;english;0;
alvilda;f;danish;0;
alvin;m;english;0.10;Ami de tous (germanique).
alvina;f;english;0;"Forme fémnine et dérivé d' Allowin. Vient du germain ""al et win"" Signifie : ""tout et ami"" Se fête le 1er octobre."
alvis;m;norse mythology;0;"signifie ""tout sage"" en Vieux norrois."
alwilda;f;english;0;
alwyn;m;english;0;Du nom de la Rivière(du Fleuve) Alwen au Pays de galles.
alya;f;arabic;0;Sublime (arabe).
alyce;f;english (modern);0;
alyona;f;russian;0;
alys;f;english (modern);0;
alysha;f;english (modern);0;
alyson;f;english;0;De noble lignée (germanique).
alyssa;f;english;0;De noble lignée (germanique).
alyssia;f;english;0;De noble lignée (germanique).
alyusha;m;russian;0;
alyx;f;english;0;
alzbeta;f;czech, slovak;0;
ama;f;african;0.13;
amabel;f;english;0;
amada;f;spanish;0.03;
amadeo;m;italian;0.35;Amour de Dieu (latin).
amadeus;m;late roman;0.10;"signifie ""l'amour de Dieu"", tiré du latin amare ""pour aimer"" et ""Dieu"" Deus."
amadi;f;african;0;"signifie ""libèrent l'homme"" en Igbo."
amal;f,m;arabic, biblical;0;Espoir (arabe).
amala;f;indian;0;
amalia;f;german, english;0.03;Travailleuse (germanique).
amalric;m;ancient germanic;0;"Le nom germanique tiré des éléments amal la signification ""le travail, insistez"" et ric sur la signification ""du pouvoir""(""de la puissance"")."
amalthea;f;greek mythology;0;
amanda;f;english;0.25;Qui est aimée (latin).
amandine;f;english;0.48;Qui est aimée (latin).
amando;m;spanish;0;Portugais, espagnol et italien sous forme de AMANDUS.
amani;f;arabic;0;"Prénom d'origine arabe. Signifie: ""désirs, souhaits"""
amar;m;indian;1.56;Bâtisseur (arabe).
amara;f;;0.03;"Prénom d'origine arabe. Signifie: ""prospérité, bonheur"""
amaranta;f;english;0;
amarante;f;french, ancient greek;0.76;"Variante d'Amarande. Vient du latin ""amare"" Signifie : ""aimer"" Se fête le 7 novembre."
amardad;m;;0;
amariah;m;biblical;0;"signifie ""YAHWEH ont dit"" en l'Hébreu."
amaryllis;f;english;0.96;
amaterasu;f;far eastern mythology;0.06;
amato;m;italian;0;Forme italienne d'AMATUS.
amaury;m;french;6.75;Puissant (germanique).
amaya;f;japanese;0;Aimée (latin).
amber;f;english;0.13;ambre.
ambra;f;italian;0;Ambre gris (latin, arabe).Voir Ambre.
ambre;f;french;3.76;"Ambre gris (latin, arabe). L' étymologie de ce prénom est de surcroît liée au grec êlectron, terme qui a ensuite donné le mot français électricité. Ambre peut enfin être considéré comme une forme féminine d'Ambroise, ce qui la rend ""immortelle""."
ambrogino;m;italian;0;Diminutif d'AMBROGIO.
ambrogio;m;italian;0.03;La forme italienne d'Ambrosius (voir AMBROSE).
ambroise;m;french;1.59;Immortel (grec).
ambrose;m;english;0.10;"Du Dernier(Tardif) nom latin Ambrosius, qui a été tiré du nom grec (Ambrosios) la signification ""d'immortel""."
ambrosia;f;ancient greek;0;Immortelle (grec).
ambrosine;f;english;0;
ambrosio;m;spanish, portuguese;0;Forme espagnole et portugaise de Ambrosius (voir AMBROISE).
ambrus;m;hungarian;0;La forme hongroise d'Ambrosius (voir AMBROSE).
amedea;f;italian;0;
amedeo;m;italian;0.10;Amour de Dieu (latin).
amedeus;m;english;0;Variante du AMADEUS.
amelia;f;english;0;Travailleuse (germanique).
amen;m;egyptian mythology;1.88;Variante du AMON.
amenhotep;m;ancient egyptian;0;"De l'Egyptien Ymnhtp signifiant ""paix d'Amon"", tiré du nom de Dieu égyptien AMON combiné avec htp ""paix, satisfaction""."
america;f;english;0.54;"Forme féminine d'Emeric. Vient du germain ""heim et rick"" Signifie : ""maison et roi puissant"" Se fête le 4 novembre"
americo;m;spanish, portuguese;0;Forme espagnole et portugaise de AMERIGO.
amerigo;m;italian;0.13;Forme italienne médiévale d'EMMERICH.
amethyst;f;english;0;
amhlaidh;m;scottish;0;Forme écossaise de l'OLAF.
amhlaoibh;m;irish;0;Forme irlandaise d'OLAF.
ami;f;english (modern);93.44;
amias;m;english;0;Variante du Amyas.
amice;f;english;0.06;
amie;f;english;33.13;
amika;f;esperanto;0;
amilcar;m;portuguese, spanish;0.10;Forme portugaise et espagnole d'Hamilcar.
amilia;f;english;0;
amin;m;arabic;0.10;Loyal, digne de confiance (arabe).
amina;f;arabic;0;Loyale, digne de confiance (arabe).
aminda;f;esperanto;0;
aminta;f;;0.03;
amir;m;arabic, jewish;0;Prince (arabe). Proclamé (hébreu).
amira;f;arabic;0;Discours (hébreu).
amita;f;indian;0;
amittai;m;biblical;0;"signifie ""ma vérité"" en Hébreu."
amity;f;english;0;
ammiel;m;biblical;0;"signifie ""Dieu sont mon parent"" en l'Hébreu."
ammon;m;egyptian mythology (hellenized);0.19;La forme grecque d'Yamanu (voir AMON).
amon;m;egyptian mythology;0.03;"(D'Ammon), la forme grecque d'Egyptien Ymn (reconstruit comme Yamanu) qui a signifié ""le caché un""."
amos;m;biblical, english, jewish;0.10;Né des Dieux, fardeau (hébreu).
amparo;f;spanish;0;
amrit;m,f;indian;0;"le Nectar. ""liqueur divine""."
amrita;f;indian;0;Imortelle.
amy;f;english;0.06;Aimée des Dieux (latin).
amyas;m;english;0;Signification d'inconnu, peut-être une dérivée d'AMIS.
amynta;f;;0;
an;m,f;chinese;82.32;Chine : Paix.
ana;f;spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian;4.62;Grâce (hébreu).
anacleto;m;italian, spanish, portuguese;0;Italien, forme espagnole et portugaise d'ANACLETUS.
anacletus;m;ancient greek (latinized);0;"Forme Latinisée du nom grec (Anakletos), tiré (d'anakletos) signification ""d'invoqué""."
anahid;f;armenian;0;
anahita;f;near eastern mythology;0;
anaitis;f;near eastern mythology (hellenized);0;
anakin;m;literature;0;
anakoni;m;hawaiian;0;Forme hawaïenne d'ANTHONY.
anan;m,f;african, biblical;0;
anand;m;indian;0;Bonheur suprême.
ananda;f;indian;0.03;
